latitude,longitude,ratio,vegetationType
20.41,110.21,0.188991719,forest
20.41,110.21,0.200173435,forest
20.41,110.21,0.209829116,forest
20.41,110.21,0.215101838,forest
20.41,110.21,0.22421632,forest
20.41,110.21,0.225862615,forest
20.41,110.21,0.246236399,forest
20.41,110.21,0.26664621,forest
20.41,110.21,0.290015053,forest
26.2823,113.6424,0.235609316,forest
28.4064,106.0754,0.177649589,forest
25.9064,107.6815,0.223279597,forest
22.9028,115.6023,0.179307349,forest
28.9028,113.8033,0.242846263,forest
24.5876,104.6845,0.190271817,forest
18.70972,108.831208,0.088005215,forest
25.209,111.3065,0.223185953,forest
30.209,109.4018,0.200451253,forest
21.459,109.411,0.297297297,forest
27.709,107.614,0.098593257,forest
25.2063,111.3093,0.188511207,forest
26.2063,109.2849,0.217153718,forest
24.5206,121.109,0.285588476,forest
25.9581,108.9296,0.177629488,forest
25.7072,116.9059,0.2527339,forest
26.7054,105.9059,0.440685785,forest
19.8893,110.6217,0.7132182,forest
8.6,-78,0.048573631,forest
8.6,-78,0.027086183,forest
8.6,-78,0.069634703,forest
8.6,-78,0.047211896,forest
22.2,109.5,0.228351648,forest
23.2,100.85,0.229679655,forest
23.2,100.85,0.112850071,forest
23.2,100.85,0.149201654,forest
23.2,100.85,0.229648712,forest
23.2,100.85,0.309226811,forest
23.2,113.2,0.138018433,forest
25.2,111.95,0.174271012,forest
25.2,111.3,0.223185953,forest
25.2,111.3,0.188511207,forest
25.2,117.5,0.075270854,forest
26.2,110.2,0.179463118,forest
26.2,109.28,0.217153718,forest
26.2,109.5,0.175238574,forest
26.2,107.97,0.234288674,forest
27.2,117.1,0.182337682,forest
28.2,107,0.272217637,forest
30.2,109.4,0.231242312,forest
30.2,109.4,0.267385097,forest
23.45,111.8833333,0.257290807,forest
24.45,111.77,0.13309264,forest
24.45,106.33,0.407068063,forest
25.45,109.93,0.218094174,forest
25.45,109.97,0.198805815,forest
26.45,101.18,0.292693566,forest
26.45,106.9833333,0.12213262,forest
26.45,106.9833333,0.167609618,forest
26.45,100.77,0.107996459,forest
26.45,106.98,0.105682426,forest
26.45,106.98,0.116126458,forest
26.45,106.98,0.117595628,forest
26.45,106.98,0.120090596,forest
26.45,106.98,0.128008489,forest
26.45,106.98,0.129562982,forest
26.45,106.98,0.141224383,forest
26.45,106.98,0.147129764,forest
26.45,106.98,0.163524169,forest
26.45,106.98,0.164015905,forest
26.45,106.98,0.169328419,forest
26.45,106.98,0.174165653,forest
26.45,108.55,0.194787716,forest
26.45,103.4,0.149,forest
26.45,103.4,0.149141631,forest
26.45,103.4,0.325342466,forest
26.45,103.4,0.4114082,forest
26.45,100.88,0.062446971,forest
18.7,108.8,0.175341722,forest
18.7,108.8,0.248836046,forest
20.7,110,0.305560827,forest
20.7,110.04,0.181063155,forest
20.7,110.04,0.199675715,forest
20.7,110.04,0.202467886,forest
20.7,110.04,0.27037187,forest
21.7,109.6,0.328229593,forest
21.7,108.3,0.316945708,forest
23.7,120.9,0.292367459,forest
24.7,111.55,0.166275275,forest
24.7,117.2,0.160930425,forest
24.7,117.2,0.500931388,forest
24.7,114.5,0.226928021,forest
25.7,113.3,0.22019085,forest
25.7,116.9,0.252705986,forest
25.7,110,0.14648318,forest
25.7,110,0.172209636,forest
26.7,110.6,0.224433686,forest
26.7,109.6,0.236831888,forest
26.7,109.6,0.174040853,forest
26.7,105.9,0.440550304,forest
26.7,118,0.180618212,forest
26.7,103.83,0.276186145,forest
27.7,109.33,0.255147411,forest
27.7,107.62,0.098593257,forest
21.95,101.1666667,0.246030203,forest
21.95,101.1666667,0.275182051,forest
21.95,101.17,0.275182051,forest
24.95,106.28,0.076615155,forest
24.95,110.39,0.171943996,forest
24.95,112.87,0.278113763,forest
25.95,108.92,0.177629488,forest
25.95,108.97,0.185989449,forest
26.95,107.63,0.165970874,forest
23.7598,105.0849,0.119831815,forest
28.258,108.121,0.170740908,forest
26.6339,109.3587,0.123165284,forest
21.7589,108.4092,0.183774708,forest
23.0053,110.6565,0.132932166,forest
26.0044,110.4004,0.13658028,forest
26.2544,113.6829,0.220562864,forest
26.0017,110.6074,0.274267276,forest
28.2517,108.4524,0.256087824,forest
26.3767,106.9758,0.264581974,forest
28.0026,120.6016,0.20494368,forest
25.3749,108.1477,0.186576548,forest
28.874,107.9204,0.248356345,forest
25.7508,108.0965,0.462762783,forest
22.5588,109.9926,0.219319938,forest
25.8088,99.089,0.316934065,forest
23.8079,109.7021,0.195218438,forest
5.479488,102.932527,0.103703704,forest
26.24,116.51,0.236689991,forest
26.24,116.51,0.281605196,forest
30.24,108.85,0.237847222,forest
30.24,108.85,0.318007663,forest
28.49,109.4,0.166970387,forest
28.49,109.4,0.21424857,forest
24.74,117.48,0.232816347,forest
24.74,117.48,0.246879724,forest
27.74,113.54,0.213504823,forest
27.74,113.54,0.215137615,forest
27.74,113.54,0.220381873,forest
24.99,107.49,0.122107244,forest
24.99,107.49,0.171766713,forest
24.99,107.49,0.278926049,forest
25.99,107.96,0.131390135,forest
25.99,107.96,0.182235835,forest
25.99,107.96,0.198907104,forest
25.99,107.96,0.248,forest
25.99,107.96,0.249066002,forest
25.99,107.96,0.4375,forest
2.847228,102.072563,0.245590345,forest
26.4891,106.1746,0.240699917,forest
26.7391,105.3727,0.140339253,forest
26.3007,108.0021,0.259953602,forest
27.3007,114.6033,0.201146959,forest
24.9855,112.7437,0.241477625,forest
24.7328,106.2308,0.070458695,forest
5.502049,102.926878,0.118421053,forest
25.6042,109.9822,0.184695577,forest
25.106,108.6285,0.19305762,forest
20.037286,110.705892,0.290066035,forest
26.6051,117.9024,0.212504141,forest
27.039,109.1348,0.107381058,forest
26.6015,118.1091,0.220036939,forest
25.7265,99.3814,0.091132455,forest
28.1006,111.0031,0.201851571,forest
28.5336,106.2495,0.205611746,forest
24.9086,111.7054,0.185777231,forest
5.439461,102.943238,0.094618834,forest
23.03,108.51,0.185545518,forest
23.03,108.51,0.239797189,forest
23.03,108.51,0.24384862,forest
23.03,108.51,0.258309644,forest
24.03,121.12,0.285663483,forest
25.03,106.12,0.212422577,forest
27.03,109.13,0.107381058,forest
27.03,109.43,0.223404255,forest
28.03,108.12,0.124768457,forest
24.28,106.33,0.602539854,forest
25.28,99.68,0.333333333,forest
25.28,99.73,0.377019414,forest
25.28,116.12,0.330738481,forest
25.28,99.85,0.099455297,forest
25.28,99.78,0.092784366,forest
26.28,113.63,0.235546834,forest
28.28,105.87,0.143023882,forest
24.53,101,0.079957855,forest
25.53,110.1,0.217716115,forest
26.53,110.57,0.240772835,forest
26.53,117.99,0.15884101,forest
26.53,108.92,0.227265087,forest
27.53,108.45,0.248491957,forest
27.53,108.37,0.275263775,forest
28.53,105.93,0.190209032,forest
28.53,106.1,0.19023294,forest
28.53,106.2,0.184526163,forest
28.53,106.23,0.205584916,forest
26.78,109.63,0.131129412,forest
26.78,109.63,0.132857143,forest
26.78,109.63,0.156077223,forest
26.78,109.63,0.171826342,forest
26.78,109.63,0.172781733,forest
26.78,109.63,0.181888485,forest
26.78,109.63,0.183867332,forest
26.78,109.63,0.184158882,forest
26.78,109.63,0.184723816,forest
26.78,109.63,0.195169855,forest
26.78,109.63,0.197853855,forest
26.78,109.63,0.201015838,forest
26.78,109.63,0.203528291,forest
26.78,109.63,0.204164672,forest
26.78,109.63,0.2079489,forest
26.78,109.63,0.211566752,forest
26.78,109.63,0.212363206,forest
26.78,109.63,0.213207908,forest
26.78,109.63,0.213517917,forest
26.78,109.63,0.243117626,forest
26.78,109.63,0.246911056,forest
26.78,109.63,0.254302507,forest
26.78,109.63,0.257437254,forest
26.78,109.63,0.258155951,forest
26.78,109.63,0.258241758,forest
26.78,109.63,0.260491827,forest
26.78,109.63,0.266033254,forest
26.78,109.63,0.279543717,forest
26.78,109.63,0.281960887,forest
26.78,109.63,0.282048425,forest
26.78,109.63,0.296968987,forest
26.78,109.63,0.311688312,forest
26.78,109.63,0.420535714,forest
26.78,109.63,0.430813124,forest
26.78,110.12,0.21185372,forest
27.78,107.85,0.245501042,forest
29.78,110.13,0.267282144,forest
26.0273,109.3677,0.240059828,forest
25.3398,107.9154,0.193512111,forest
26.5273,107.9878,0.187973274,forest
24.4014,117.6059,0.28209397,forest
25.4005,108.0207,0.178415576,forest
26.0871,99.6218,0.274575243,forest
26.0871,108.6022,0.242314161,forest
24.54805556,101.0280556,0.239,forest
24.54805556,101.0280556,0.24,forest
24.54805556,101.0280556,0.261,forest
21.92305556,101.2677778,0.225813927,forest
14.145181,121.203521,0.038979948,forest
25.33333333,114.5666667,0.229092527,forest
22.58333333,109.8833333,0.185322461,forest
21.83333333,101.2,0.246030203,forest
22.83333333,110.5833333,0.276952126,forest
6.483951,100.26395,0.1,forest
26.4594,100.8949,0.062440614,forest
27.0237,104.1669,0.139868268,forest
6.33333,5.666667,0.318104907,forest
25.2085,117.5096,0.191742424,forest
4.823604,-2.101612,0.109200593,forest
26.2067,110.209,0.179437605,forest
3.577283,101.390022,0.209924368,forest
27.2058,117.106,0.258769845,forest
-2.486505,29.157291,0.898210291,forest
26.1406,99.3826,0.163863109,forest
20.7022,110.0084,0.305599494,forest
26.7022,118.0037,0.180625757,forest
-1.603258,120.095498,0.066,forest
-18.408299,48.542099,0.573292736,forest
28.0093,106.6033,0.130474934,forest
25.2584,107.9513,0.182561071,forest
28.5709,106.4004,0.177666818,forest
25.07,106.23,0.368683901,forest
25.07,107.18,0.203804994,forest
25.07,107.18,0.227456258,forest
27.07,117.69,0.197495528,forest
7.58,99.75,0.087027468,forest
7.58,99.75,0.101971448,forest
25.32,102.55,0.372135742,forest
25.32,102.55,0.376869732,forest
28.32,106.48,0.134465534,forest
28.32,105.7,0.185268773,forest
28.32,105.87,0.192610539,forest
22.57,101.18,0.278661425,forest
23.57,108.37,0.27972028,forest
26.57,118.12,0.14723432,forest
26.57,118.12,0.148195729,forest
26.57,118.12,0.199205253,forest
28.57,106.48,0.142674435,forest
27.82,118.46,0.291158802,forest
27.82,118.46,0.292800316,forest
27.82,118.46,0.318329209,forest
27.82,117.84,0.156681706,forest
27.82,117.84,0.293770262,forest
27.82,108.6,0.261791864,forest
28.82,110.27,0.227791329,forest
26.2548,113.8404,0.212648517,forest
25.5048,111.3681,0.231563253,forest
23.0021,113.7013,0.138088145,forest
23.128,111.8834,0.201662944,forest
25.628,108.2998,0.190547778,forest
26.5003,114.4071,0.208433735,forest
25.0012,116.4037,0.195213489,forest
3.033922,102.277856,0.182098765,forest
24.8092,106.2942,0.073282056,forest
-2.472548,29.246577,1.65248731,forest
24.8038,114.4043,0.242940835,forest
10.93333,103.4,0.203889216,forest
10.93333,103.4,0.171124829,forest
10.93333,103.4,0.214876033,forest
10.93333,103.4,0.122365738,forest
28.7368,110.2697,0.248716962,forest
26.8011,109.9013,0.294411275,forest
24.36,117.4,0.172605561,forest
24.36,117.4,0.198051948,forest
24.36,117.4,0.239133974,forest
10.93,103.4,0.203889216,forest
10.93,103.4,0.171124829,forest
10.93,103.4,0.214876033,forest
10.93,103.4,0.122365738,forest
24.86,117.68,0.255519414,forest
24.86,117.68,0.257680269,forest
24.86,117.68,0.258582486,forest
24.86,117.68,0.260038942,forest
26.3591,113.6433,0.2366719,forest
28.4841,114.1543,0.254529044,forest
26.7341,101.3467,0.095998565,forest
26.2314,108.0059,0.176841746,forest
26.7305,104.4122,0.258245973,forest
21.8555,108.7056,0.287957436,forest
29.2296,107.4461,0.160481444,forest
27.1037,118.1078,0.164423448,forest
28.2251,108.8028,0.255821372,forest
25.2876,99.7985,0.092784366,forest
25.9751,110.2809,0.277507015,forest
24.0367,121.1287,0.285707027,forest
1.590494,103.543525,0.1,forest
25.9081,110.1063,0.219921151,forest
24.9072,111.7055,0.152935398,forest
25.5295,108.1,0.188744333,forest
27.717,117.65,0.560461751,forest
26.2777,108.2453,0.105872423,forest
27.0286,107.6369,0.177656155,forest
26.0875,99.5636,0.344156332,forest
25.15,102.78,0.239538089,forest
26.15,99.08,0.075090918,forest
26.15,119.11,0.136355052,forest
26.15,119.11,0.22826299,forest
27.15,117.31,0.146845164,forest
27.15,117.31,0.153404912,forest
27.15,117.31,0.187599726,forest
26.275,107.9361,0.18199277,forest
6.1,-0.83,0.11146,forest
9.2,-79.5,0.158,forest
9.2,-79.5,0.158,forest
9.2,-79.4,0.25,forest
9.2,-79.4,0.284,forest
9.2,-79.4,0.272,forest
9.2,-79.4,0.676,forest
9.2,-79.4,0.651,forest
9.2,-79.4,0.404,forest
9.2,-79.4,0.324,forest
9.2,-79.4,0.269,forest
9.2,-79.4,0.25,forest
9.2,-79.4,0.284,forest
9.2,-79.4,0.272,forest
9.2,-79.4,0.676,forest
9.2,-79.4,0.651,forest
9.2,-79.4,0.404,forest
9.2,-79.4,0.324,forest
9.2,-79.4,0.269,forest
24.4,117.6,0.28209397,forest
24.4,106.32,0.230845881,forest
25.4,105.22,0.262585285,forest
25.4,107.98,0.165688259,forest
25.4,102.75,0.302,forest
25.4,102.75,0.300044964,forest
25.4,106.37,0.20797072,forest
25.4,108.02,0.178415576,forest
26.4,108.2,0.30074865,forest
26.4,106.7,0.480780732,forest
